# Resultados del PASO 2: Diferenciacion numerica
# i    x         f(x)              df/dx
  0 1.0000 0.098000000000000 -1.410000000000000
  1 1.1000 -0.043000000000000 -1.505000000000000
  2 1.2000 -0.203000000000000 -1.629166666500000
  3 1.3000 -0.368833333300000 -1.650000000000000
  4 1.4000 -0.533000000000000 -1.620833333500000
  5 1.5000 -0.693000000000000 -1.429999999999999
  6 1.6000 -0.819000000000000 -1.260000000000000
  7 1.7000 -0.945000000000000 -0.961250000000000
  8 1.8000 -1.011250000000000 -0.532857143000000
  9 1.9000 -1.051571428600000 -0.208750000000000
 10 2.0000 -1.053000000000000 -0.014285714000000
